DATA_INICIAL;DATA_FINAL;PRODUTO;POSTOS_PESQUISADOS;UNIDADE_MEDIDA;PRECO_MEDIO_VENDA;DESVIO_PADRAO_REVENDA;PRECO_MINIMO_REVENDA;PRECO_MAXIMO_REVENDA;MARGEM_MEDIA_REVENDA;COEF_DE_VARIACAO_REVENDA;PRECO_MEDIO_DISTRIBUICAO;DESVIO_PADRAO_DISTRIBUICAO;PRECO_MINIMO_DISTRIBUICAO;PRECO_MAXIMO_DISTRIBUICAO;COEF_DE_VARIACAO_DISTRIBUICAO
04/11/2012;10/11/2012;ETANOL HIDRATADO;8195;R$/l;1,888;0,272;1,299;3,12;0,318;0,144;1,57;0,255;1,147;2,361;0,162
11/11/2012;17/11/2012;ETANOL HIDRATADO;8184;R$/l;1,884;0,272;1,299;3,12;0,31;0,144;1,574;0,253;1,156;2,361;0,161
18/11/2012;24/11/2012;ETANOL HIDRATADO;8176;R$/l;1,897;0,265;1,299;3,12;0,29;0,14;1,607;0,234;1,156;2,363;0,146
25/11/2012;01/12/2012;ETANOL HIDRATADO;8164;R$/l;1,917;0,257;1,459;3,12;0,29;0,134;1,627;0,227;1,189;2,363;0,14
02/12/2012;08/12/2012;ETANOL HIDRATADO;8168;R$/l;1,927;0,251;1,459;3,12;0,272;0,13;1,655;0,225;1,189;2,353;0,136
09/12/2012;15/12/2012;ETANOL HIDRATADO;8155;R$/l;1,933;0,248;1,519;3,12;0,271;0,128;1,662;0,218;1,214;2,433;0,131
16/12/2012;22/12/2012;ETANOL HIDRATADO;8162;R$/l;1,941;0,246;1,489;3,12;0,267;0,127;1,674;0,22;1,274;2,353;0,131
23/12/2012;29/12/2012;ETANOL HIDRATADO;8180;R$/l;1,944;0,246;1,479;3,12;0,267;0,127;1,677;0,219;1,285;2,469;0,131
04/11/2012;10/11/2012;GASOLINA COMUM;8685;R$/l;2,746;0,152;2,249;3,799;0,394;0,055;2,352;0,111;2,087;2,89;0,047
11/11/2012;17/11/2012;GASOLINA COMUM;8682;R$/l;2,745;0,151;2,249;3,799;0,394;0,055;2,351;0,112;2,021;2,927;0,048
18/11/2012;24/11/2012;GASOLINA COMUM;8677;R$/l;2,746;0,151;2,249;3,799;0,391;0,055;2,355;0,109;2,021;2,89;0,046
25/11/2012;01/12/2012;GASOLINA COMUM;8679;R$/l;2,748;0,15;2,229;3,799;0,392;0,055;2,356;0,107;2,1;2,89;0,045
02/12/2012;08/12/2012;GASOLINA COMUM;8674;R$/l;2,75;0,149;2,279;3,799;0,388;0,054;2,362;0,106;2,1;2,89;0,045
09/12/2012;15/12/2012;GASOLINA COMUM;8674;R$/l;2,751;0,148;2,269;3,799;0,387;0,054;2,364;0,105;2,1;2,89;0,044
16/12/2012;22/12/2012;GASOLINA COMUM;8661;R$/l;2,756;0,147;2,269;3,599;0,387;0,053;2,369;0,108;2,014;2,89;0,046
23/12/2012;29/12/2012;GASOLINA COMUM;8674;R$/l;2,756;0,147;2,269;3,799;0,385;0,053;2,371;0,109;2,11;2,89;0,046
04/11/2012;10/11/2012;GLP;8054;R$/13Kg;39,665;4,062;26;62;9,968;0,102;29,697;4,411;14,663;44;0,149
11/11/2012;17/11/2012;GLP;7957;R$/13Kg;40;4,237;26;62;10,358;0,106;29,642;4,52;14,663;45;0,152
18/11/2012;24/11/2012;GLP;8045;R$/13Kg;40,066;4,144;27;62;10,392;0,103;29,674;4,445;14,663;45;0,15
25/11/2012;01/12/2012;GLP;8055;R$/13Kg;40,093;4,098;27;62;10,346;0,102;29,747;4,402;14,663;45;0,148
02/12/2012;08/12/2012;GLP;8054;R$/13Kg;40,136;4,038;26;62;10,404;0,101;29,732;4,399;14,66;45;0,148
09/12/2012;15/12/2012;GLP;8056;R$/13Kg;40,133;4,004;26;62;10,324;0,1;29,809;4,373;14,66;45;0,147
16/12/2012;22/12/2012;GLP;8047;R$/13Kg;40,077;4,024;27;62;10,22;0,1;29,857;4,392;14,663;45;0,147
23/12/2012;29/12/2012;GLP;8049;R$/13Kg;40,151;4,005;27;62;10,304;0,1;29,847;4,446;14,663;45;0,149
04/11/2012;10/11/2012;GNV;508;R$/m3;1,745;0,189;1,319;2,399;0,407;0,108;1,338;0,143;0,887;1,708;0,107
11/11/2012;17/11/2012;GNV;507;R$/m3;1,743;0,185;1,349;2,399;0,405;0,106;1,338;0,163;0,878;1,708;0,122
18/11/2012;24/11/2012;GNV;491;R$/m3;1,733;0,184;1,369;2,399;0,391;0,106;1,342;0,166;0,878;1,749;0,124
25/11/2012;01/12/2012;GNV;515;R$/m3;1,741;0,18;1,359;2,399;0,403;0,103;1,338;0,161;0,886;1,918;0,12
02/12/2012;08/12/2012;GNV;516;R$/m3;1,756;0,174;1,399;2,399;0,417;0,099;1,339;0,158;0,9;1,97;0,118
09/12/2012;15/12/2012;GNV;498;R$/m3;1,755;0,171;1,359;2,399;0,463;0,097;1,292;0,169;0,886;1,97;0,131
16/12/2012;22/12/2012;GNV;521;R$/m3;1,754;0,172;1,389;2,599;0,391;0,098;1,363;0,149;1,096;1,822;0,109
23/12/2012;29/12/2012;GNV;501;R$/m3;1,758;0,17;1,399;2,599;0,415;0,097;1,343;0,156;0,886;1,822;0,116
04/11/2012;10/11/2012;OLEO DIESEL;7157;R$/l;2,146;0,113;1,8;2,95;0,221;0,053;1,925;0,084;1,638;2,57;0,044
11/11/2012;17/11/2012;OLEO DIESEL;7148;R$/l;2,147;0,113;1,869;2,95;0,223;0,053;1,924;0,084;1,708;2,57;0,044
18/11/2012;24/11/2012;OLEO DIESEL;7101;R$/l;2,147;0,113;1,86;2,95;0,221;0,053;1,926;0,084;1,665;2,57;0,044
25/11/2012;01/12/2012;OLEO DIESEL;7071;R$/l;2,15;0,111;1,844;2,95;0,222;0,052;1,928;0,082;1,75;2,57;0,043
02/12/2012;08/12/2012;OLEO DIESEL;7101;R$/l;2,151;0,112;1,869;2,95;0,224;0,052;1,927;0,08;1,713;2,57;0,042
