DATA_INICIAL;DATA_FINAL;PRODUTO;POSTOS_PESQUISADOS;UNIDADE_MEDIDA;PRECO_MEDIO_VENDA
04/11/2012;10/11/2012;ETANOL HIDRATADO;8195;R$/l;1,888
11/11/2012;17/11/2012;ETANOL HIDRATADO;8184;R$/l;1,884
18/11/2012;24/11/2012;ETANOL HIDRATADO;8176;R$/l;1,897
25/11/2012;01/12/2012;ETANOL HIDRATADO;8164;R$/l;1,917
02/12/2012;08/12/2012;ETANOL HIDRATADO;8168;R$/l;1,927
09/12/2012;15/12/2012;ETANOL HIDRATADO;8155;R$/l;1,933
16/12/2012;22/12/2012;ETANOL HIDRATADO;8162;R$/l;1,941
23/12/2012;29/12/2012;ETANOL HIDRATADO;8180;R$/l;1,944
04/11/2012;10/11/2012;GASOLINA COMUM;8685;R$/l;2,746
11/11/2012;17/11/2012;GASOLINA COMUM;8682;R$/l;2,745
18/11/2012;24/11/2012;GASOLINA COMUM;8677;R$/l;2,746
25/11/2012;01/12/2012;GASOLINA COMUM;8679;R$/l;2,748
02/12/2012;08/12/2012;GASOLINA COMUM;8674;R$/l;2,75
09/12/2012;15/12/2012;GASOLINA COMUM;8674;R$/l;2,751
16/12/2012;22/12/2012;GASOLINA COMUM;8661;R$/l;2,756
23/12/2012;29/12/2012;GASOLINA COMUM;8674;R$/l;2,756
04/11/2012;10/11/2012;GLP;8054;R$/13Kg;39,665
11/11/2012;17/11/2012;GLP;7957;R$/13Kg;40
18/11/2012;24/11/2012;GLP;8045;R$/13Kg;40,066
25/11/2012;01/12/2012;GLP;8055;R$/13Kg;40,093
02/12/2012;08/12/2012;GLP;8054;R$/13Kg;40,136
09/12/2012;15/12/2012;GLP;8056;R$/13Kg;40,133
16/12/2012;22/12/2012;GLP;8047;R$/13Kg;40,077
23/12/2012;29/12/2012;GLP;8049;R$/13Kg;40,151
04/11/2012;10/11/2012;GNV;508;R$/m3;1,745
11/11/2012;17/11/2012;GNV;507;R$/m3;1,743
18/11/2012;24/11/2012;GNV;491;R$/m3;1,733
25/11/2012;01/12/2012;GNV;515;R$/m3;1,741
02/12/2012;08/12/2012;GNV;516;R$/m3;1,756
09/12/2012;15/12/2012;GNV;498;R$/m3;1,755
16/12/2012;22/12/2012;GNV;521;R$/m3;1,754
23/12/2012;29/12/2012;GNV;501;R$/m3;1,758
04/11/2012;10/11/2012;OLEO DIESEL;7157;R$/l;2,146
11/11/2012;17/11/2012;OLEO DIESEL;7148;R$/l;2,147
18/11/2012;24/11/2012;OLEO DIESEL;7101;R$/l;2,147
25/11/2012;01/12/2012;OLEO DIESEL;7071;R$/l;2,15
02/12/2012;08/12/2012;OLEO DIESEL;7101;R$/l;2,151
09/12/2012;15/12/2012;OLEO DIESEL;7049;R$/l;2,149
16/12/2012;22/12/2012;OLEO DIESEL;7103;R$/l;2,152
23/12/2012;29/12/2012;OLEO DIESEL;7081;R$/l;2,153
